label,author,title,journal,doi,year,abstract,issn,journal_secondary,volume,issue,pages,institution,url,ea,ei,pm,pt,ri,tc,ut,z8,z9,za,zb,zr,zs,ar,oi,pd,z2,be,bn,cl,ct,pn,se,z4,s1,ho,si,ca,ma,su,gp,ft,ak,z1,x1,y4,citation,screened_titles,notes
Targonska_2014_JOOFTHBI,"Targonska, Katarzyna and Zarski, Daniel and Kupren, Krzysztof and Palinska-zarska, Katarzyna and Mamcarz, Andrzej and Kujawa, Roman and Skrzypczak, Andrzej and Furgala-Selezniow, Grazyna and Czarkowski, Tomasz K. and Hakuc-Blazowska, Anna and Kucharczyk, Dariusz","Influence of temperature during four following spawning seasons on the spawning effectiveness of common bream, Abramis brama (L.) under natural and controlled conditions",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2013.11.005,2014,"The common bream, Abramis brama (L) in Kortowskie Lake (north-eastern Poland) usually spawn when the water temperature during the late spring rises to 20 degrees C. The optimal water temperature for embryonic development of this population is 21 degrees C However, in some cases, the temperatures of the spawning grounds during bream spawning are much higher, becoming semi-lethal or even lethal for bream embryos. The aim of the study was to investigate the natural and artificial spawning effectiveness of bream during a 4-year study regarding the reproductive effectiveness of the wild bream population in relation to thermal fluctuation (optimal and semi-lethal) of their ecosystem during the natural spawning season. During four following seasons, the bream spawners, as well as the eggs, were collected from the spawning grounds and incubated at optimal (21 degrees C) and semi-lethal (23 degrees C) temperatures. The spawning of mature bream was artificially induced and the obtained eggs were also incubated at the same temperatures. The period of observed spawners on the spawning grounds was different in different years: the longest time of bream spawning was in the second year of the study and the shortest was during the third year of the study. In the last year, a decrease in water temperature caused a break in the spawning. Thermal changes in water temperature during the spawning season may have caused a high mortality level of bream embryos and decreased the recruitment of the next species generation. (C) 2013 Elsevier Ltd. All rights reserved.",0306-4565,NA,39,NA,17-23,NA,NA,NA,NA,NA,J,"Zarski, Daniel/H-9091-2019; Mamcarz, Andrzej/; Targonska, Katarzyna/; Kujawa, Roman/; Kucharczyk, Dariusz/; Palinska-Zarska, Katarzyna/; Skrzypczak, Andrzej Robert/; Hakuc-Blazowska, Anna/; Furgala-Selezniow, Grazyna/; Kupren, Krzysztof/",13,WOS:000331489000004,1,13,0,12,0,0,NA,"Zarski, Daniel/0000-0003-3082-9250; Mamcarz, and Andrzej/0000-0003-1443-2544; Targonska, Katarzyna/0000-0002-6273-2587; and Kujawa, Roman/0000-0003-0925-1204; Kucharczyk, and Dariusz/0000-0002-0889-0656; Palinska-Zarska, and Katarzyna/0000-0001-6928-154X; Skrzypczak, Andrzej and Robert/0000-0002-1000-7543; Hakuc-Blazowska, Anna/0000-0003-1092-3805; and Furgala-Selezniow, Grazyna/0000-0003-0324-1726; Kupren, and Krzysztof/0000-0001-7036-5310",Jan-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Influence of Temperature During Four Following Spawning Seasons on the Spawning Effectiveness of Common Bream, Abramis Brama (L.) under Natural and Controlled Conditions.",selected,NA
Andrade_2009_MICRJOUR,"Andrade, D. and Martorell, F. and Calomarde, A. and Moll, F. and Rubio, A.",A new compensation mechanism for environmental parameter fluctuations in CMOS digital ICs,MICROELECTRONICS JOURNAL,10.1016/j.mejo.2009.01.002,2009,Process-induced and environmental fluctuations play an important role in the design process for modern high-performance integrated circuits. The conventional principle of considering the verification of worst-case requirements reduces the performance that can potentially be achieved by circuits and technology. This paper presents a new mechanism that permits the compensation of random independent delay fluctuations due to environmental factors. It shows that it is significantly possible to reduce the latency time of a circuit even for a moderate length of pipeline stages. (C) 2009 Elsevier Ltd. All rights reserved.,0026-2692,NA,40,6,952-957,NA,NA,NA,1879-2391,NA,J,"Calomarde, Antonio/Z-4332-2019; Rubio, Antonio/I-3900-2014; Moll, Francesc/",5,WOS:000266757800011,0,5,0,0,0,0,NA,"Calomarde, Antonio/0000-0002-4459-8505; Rubio, and Antonio/0000-0003-1625-1472; Moll, Francesc/0000-0002-1290-3253",Jun-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a New Compensation Mechanism for Environmental Parameter Fluctuations in Cmos Digital Ics.,excluded,NA
Wang_2018_CHEM,"Wang, Guopeng and Zhang, Dong and Xu, You and Hua, Yu and Dai, Xiaohu",Comparing two start up strategies and the effect of temperature fluctuations on the performance of mainstream anammox reactors,CHEMOSPHERE,10.1016/j.chemosphere.2018.06.134,2018,"Anammox cultivated with high substrate concentration (NH4+-N, 150 mg/L; NO2--N, 200 mg/L) at 35 degrees C was first used as seed sludge to start up reactors at 35 (Ra), 20 (Rb) and 15 degrees C (Rc) with low substrate concentration (NHt(4)(+)-N 30 mg/L, NO2--N 40 mg/L). The results showed that anammox activity initially decreased in the three reactors, but that activity levels and nitrogen loading rate (NLR) increased as the bacteria gradually adapted to the new conditions (12-30 days). Temperature and concentration shift affected anammox activity jointly. In the process, the abundance of mRNA of the key functional genes of hdh and nirS, changed with time but this change did not reflect the change of anammox activity. When the reactors reached a stable state after 40 d, the effect of temperature fluctuations was tested. The results showed that anammox adapted to low temperatures as soon as temperature decreased (i.e., decreased from 35 degrees C to 15 degrees C). When temperature increased, 2-3 days were needed for activity recovery. From this result, it may be concluded that reactors with low temperatures and low substrate (mainstream) concentrations can be started up using anammox cultivated at a higher temperature (35 degrees C) with low substrate. Then anammox in Ra was used to start up a mainstream reactor at 15 degrees C and it was operated for 60 days. The results showed that the activity in Ra decreased sharply to the level as that of Rc at the stable state. After the experiment, microbiological analysis showed that the anammox was stable and that Candidatus Kuenenia was the dominant species. (C) 2018 Elsevier Ltd. All rights reserved.",0045-6535,NA,209,NA,632-639,NA,NA,NA,1879-1298,29957524,J,NA,6,WOS:000442714400069,1,7,0,4,0,0,NA,NA,Oct-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Comparing Two Start Up Strategies and the Effect of Temperature Fluctuations on the Performance of Mainstream Anammox Reactors.,excluded,NA
Higgins_2016_GEOS,"Higgins, Lindsey and Koutsouris, Alexander J. and Westerberg, Lars-Ove and Risberg, Jan",Surface Area Variability of a North-Central Tanzanian Crater Lake,GEOSCIENCES,10.3390/geosciences6020027,2016,"A history of modern (1973-2015) surface area variability for Lake Basotu in north-central Tanzania has been reconstructed using archived Landsat images from the dry season between June and October. This record was compared to local weather data as well as larger scale weather patterns. The lake has been in a state of decline interrupted by major flood events since the beginning of the satellite record. From 1973 to 1997, the lake area was between 0.97 km(2) and 4.28 km(2). Lake extent abruptly increased to 13.86 km(2) in 1998, when a co-occurrence of El Nino and a positive Indian Ocean Dipole led to extensive flooding. It is hypothesized that local agricultural practices leading to soil erosion and subsequent basin sedimentation have most likely increased the sensitivity of Lake Basotu to climatic fluctuations.",NA,NA,6,2,NA,NA,NA,NA,2076-3263,NA,J,NA,4,WOS:000410144300011,0,4,0,0,0,0,UNSP 27,NA,Jun-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Surface Area Variability of a North-Central Tanzanian Crater Lake.,excluded,NA
Cheng_2020_ADVAENERMATE,"Cheng, Hanlin and Ouyang, Jianyong",Ultrahigh Thermoelectric Power Generation from Both Ion Diffusion by Temperature Fluctuation and Hole Accumulation by Temperature Gradient,ADVANCED ENERGY MATERIALS,10.1002/aenm.202001633,2020,"Thermoelectric materials can be utilized to directly convert heat into electricity. This is particularly important for harvesting waste heat that is abundant on earth. But their thermoelectric performance is still not high enough for practical heat-to-electricity conversion after being studied for about 200 years. Instead of enhancing the figure of merit (ZT) of thermoelectric materials, a significant improvement in heat harvesting by constructing a hybrid ionic/electronic thermoelectric converter (HTEC) is demonstrated. The device consists of an electronic unit and an ionic unit. The electronic unit is made of a thermoelectric polymer, poly(3,4-ethylenedioxythiophene):poly(styrene sulfonate) (PEDOT:PSS), and the ionic unit is composed of an ionogel. In addition to the heat-to-electricity conversion by the electronic unit from a temperature gradient due to the Seebeck effect, the ionic unit can generate electricity from temperature fluctuations owing to thermal ionic diffusion (Soret effect). The power generation can be many times more than the control thermoelectric generator using PEDOT:PSS. Because the temperature of waste heat usually fluctuates, the HTECs can give rise to much higher heat-to-electricity power conversion than normal thermoelectric generators with electronic conductors only.",1614-6832,NA,10,37,NA,NA,NA,Aug-20,1614-6840,NA,J,NA,0,WOS:000559906300001,0,0,0,0,0,0,2001633,"Ouyang, Jianyong/0000-0001-9901-0177",Oct-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ultrahigh Thermoelectric Power Generation from both Ion Diffusion by Temperature Fluctuation and Hole Accumulation by Temperature Gradient.,excluded,NA
Guslienko_2004_JOOFMAANMAMA,"Guslienko, KY and Chubykalo, O and Hannay, JD and Chantrell, RW",Consistency of thermal activation model based on the stochastic Landau-Lifshitz equation and classical spin-wave description,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2003.11.107,2004,"Numerical studies of magnetisation fluctuations in a linear chain of spherical particles are carried out using the Langevin dynamic (LD) approach, and compared directly to the predictions of spin-wave theory. The results enable the identification of the magnetisation fluctuations in terms of exchange and magnetostatic spin-wave modes. Excellent quantitative agreement between the numerical and analytical results is obtained, suggesting that the LD approach correctly excites the normal modes (spin waves) of the chain. (C) 2003 Elsevier B.V. All rights reserved.",0304-8853,NA,272,NA,251-253,"JUL 27-AUG 01, 2003",NA,NA,NA,NA,J,"Chantrell, Roy/J-9898-2015; Chubykalo-Fesenko, Oksana/V-5015-2017",1,WOS:000222236500113,0,1,0,0,0,0,NA,"Chantrell, Roy/0000-0001-5410-5615; Chubykalo-Fesenko, and Oksana/0000-0002-4081-1831",May-04,NA,NA,NA,"Rome, ITALY",International Conference on Magnetism (ICM 2004),1,NA,NA,NA,NA,SI,NA,NA,NA,NA,NA,NA,NA,NA,NA,Consistency of Thermal Activation Model Based on the Stochastic Landau-Lifshitz Equation and Classical Spin-Wave Description.,excluded,NA
Sorokhtin_2015_ENVIEARTSCIE,"Sorokhtin, O. G. and Chilingar, G. V. and Sorokhtin, N. O. and Liu, M. and Khilyuk, L. F.",Jupiter's effect on Earth's climate,ENVIRONMENTAL EARTH SCIENCES,10.1007/s12665-014-3694-7,2015,"This paper deals with cyclical effect of Jupiter on Earth's climate. The period of Earth's interaction with Jupiter and of its effect on the position of Earth's orbit is approximately equal to 11.86 years and the Earth's temperature seasonal fluctuations is equal to 12 months. Modeling indicates that the superposition of large planets' (mostly Jupiter) that effect Earth's climate should result in the modulation of seasonal temperature fluctuations of +/- 2.5 A degrees C with the total period of 12 years. The real climatic fluctuations in the near-surface areas of Earth are modified first of all by the Sun's revolution around the center of mass of the Solar system, as affected by the gravitational pull of large planets (Jupiter and Saturn).",1866-6280,NA,73,8,4091-4097,NA,NA,NA,1866-6299,NA,J,"Sorokhtin, Nickolay O./R-8104-2016; Sorohtin, Nikolai/",0,WOS:000351453600011,0,0,0,0,0,0,NA,"Sorohtin, Nikolai/0000-0003-2057-3693",Apr-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jupiter's Effect on Earth's Climate.,excluded,NA
Sobrinho.Wanzeler_2016_ESTACIEN,"Sobrinho Wanzeler, Romero Thiago and Rocha da Costa, Jose de Paulo and dos Santos, Cleber Assis","Hourly variability of soil temperature profile in an orchard of mango trees (Mangifera indica l.) in the location of Cuiarana, Salinopolis - PA",ESTACAO CIENTIFICA-UNIFAP,10.18468/estcien.2016v6n1.p117-124,2016,"The soil temperature is one of the most important elements in the characterization of a microclimate. The aim of this work was to analyze the temperature profile in the soil, on surfaces with vegetated and nonvegetated soil, checking the average hourly variation of soil temperature at different depths and comparing the soil temperature profiles. The hourly data of soil temperature were measured and collected during the period of 23 at 25 June of 2015, in the experimental site Modesto Rodrigues, in the locality of Cuiarana, Salinopolis-PA. The soil temperature increases from 6h to approximately 14h, and decreases from that time. The highest temperatures occur in non-vegetated soil and the lower temperatures in the vegetated soil, due to the presence of higher humidity in vegetated soil. In the analysis of results, the conclusion is that soil temperature was directly related to solar radiation exposure time, being this kind of information, essential in understanding agro-meteorological and micrometeorological studies.",2179-1902,NA,6,1,117-124,NA,NA,NA,NA,NA,J,"Santos, Cleber Assis dos/M-6576-2015",0,WOS:000379388900011,0,0,0,0,0,0,NA,"Santos, Cleber Assis dos/0000-0003-3240-7238",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hourly Variability of Soil Temperature Profile in an Orchard of Mango Trees (Mangifera Indica L.) in the Location of Cuiarana, Salinopolis - Pa.",selected,NA
Bisignano_2019_INJOOFENANPO,"Bisignano, Andrea and Ferrero, Enrico and Alessandrini, Stefano",A Lagrangian dispersion model with a stochastic equation for the temperature fluctuations,INTERNATIONAL JOURNAL OF ENVIRONMENT AND POLLUTION,10.1504/IJEP.2019.103747,2019,"A new plume rise scheme for the Lagrangian stochastic model SPRAYWEB is developed and tested. The plume rise scheme is based on a stochastic differential equation for the potential temperature fluctuations coupled with the equations for the wind velocity fluctuation components. The new approach is tested against measured data from a water tank experiment (Weil et al., 2002). The results are discussed in terms of statistical indices and scatter plots. For the sake of comparison, the new scheme's performance is compared with the algorithm used in SPRAYWEB formerly proposed by Anfossi et al. (1993) which doesn't account for the temperature fluctuations. The results obtained with the novel plume rise scheme are generally satisfactory. A better agreement is found for the vertical standard deviation with respect to the results given by the Anfossi et al. (1993) scheme.",0957-4352,NA,65,4,311-324,NA,NA,NA,1741-5101,NA,J,"Ferrero, Enrico/I-1370-2019; Bisignano, Andrea/",0,WOS:000499484600004,0,0,0,0,0,0,NA,"Ferrero, Enrico/0000-0002-6317-4900; Bisignano, and Andrea/0000-0001-9095-8092",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a Lagrangian Dispersion Model with a Stochastic Equation for the Temperature Fluctuations.,excluded,NA
Lampret_2018_ENEANDBUI,"Lampret, Ziga and Krese, Gorazd and Butala, Vincenc and Prek, Matjaz",Impact of airflow temperature fluctuations on the perception of draught,ENERGY AND BUILDINGS,10.1016/j.enbuild.2018.09.014,2018,"Besides air velocity, turbulence intensity and air temperature there are also other factors, which influence human thermal response to air movement. In this study, the impact of temperature fluctuations in airflow on human thermal sensation and perception of draught was examined. For the purposes of the study an air supply unit was designed for generating airflows with temperature fluctuations and used in a subjective experiment. The experimental study indicates that temperature fluctuations possibly influence the human perception of air movement with a distinct cooling effect. At high values of frequency and amplitude fluctuations a large discrepancy was found between predicted and measured values of draught discomfort. (C) 2018 Elsevier B.V. All rights reserved.",0378-7788,NA,179,NA,112-120,NA,NA,NA,1872-6178,NA,J,NA,2,WOS:000449901000011,0,2,0,0,0,0,NA,NA,NOV 15 2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Impact of Airflow Temperature Fluctuations on the Perception of Draught.,excluded,NA
Dakappa_2016_JOOFCLANDIRE,"Dakappa, Pradeepa H. and Bhat, Gopalkrishna K. and Bolumbu, Ganaraja and Rao, Sathish B. and Adappa, Sushma and Mahabala, Chakrapani",Comparison of Conventional Mercury Thermometer and Continuous TherCom (R) Temperature Recording in Hospitalized Patients,JOURNAL OF CLINICAL AND DIAGNOSTIC RESEARCH,10.7860/JCDR/2016/21617.8586,2016,"Introduction: Detection of accurate body temperature fluctuations in hospitalized patients is crucial for appropriate clinical decision-making. The accuracy and reliability of body temperature assessment may significantly affect the proper treatment. Aim: To compare the conventional and continuous body temperature recordings in hospitalized patients. Materials and Methods: This cross-sectional study was carried out at a tertiary care centre and study included 55 patients aged between 18-65 years with a history of fever admitted to a tertiary care hospital. A noninvasive continuous temperature recording was done using TherCom (R) device through tympanic temperature probe at tympanic site at one-minute intervals for 24 hours. The conventional temperatures were recorded in the axilla using mercury thermometer at specific time intervals at 12:00 noon, 8:00 PM and 5:00 AM. Peak temperature differences between continuous and conventional methods were compared by applying Independent sample t-test. Intra class Correlation Coefficient (ICC) test was performed to assess the reliability between two temperature-monitoring methods. A p<0.05 was considered as significant. Results: The average peak temperature by non-invasive continuous recording method was 39.07 degrees C +/- 0.76 degrees C while it was 37.55 degrees C +/- 0.62 degrees C by the conventional method. A significant temperature difference of 1.52 degrees C [p<0.001; 95% CI(1.26-1.78)] was observed between continuous and conventional temperature methods. Intra class Correlation Coefficient (ICC) between continuous and conventional temperature readings at 12:00 noon was alpha= 0.540, which had moderate reliability. The corresponding coefficients at 8:00 PM and 5:00 AM were alpha=0.425 and 0.435, respectively, which had poor reliability. Conclusion: The conventional recording of temperature is routinely practiced and does not reflect the true temperature fluctuations. However, the continuous non-invasive temperature recording is simple, inexpensive and a better tool for recording the actual temperature changes.",2249-782X,NA,10,9,OC43-OC46,NA,NA,NA,0973-709X,27790493,J,"Rao, Satish/D-8400-2016; Mahabala, Chakrapani/H-1403-2015",4,WOS:000397980000154,0,4,0,2,0,0,NA,"Rao, Satish/0000-0002-7353-333X; Mahabala, and Chakrapani/0000-0002-0460-7913",Sep-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Comparison of Conventional Mercury Thermometer and Continuous Thercom (r) Temperature Recording in Hospitalized Patients.,excluded,NA
Lu_2010_APPLTHERENGI,"Lu, T. and Liu, B. and Jiang, P. X. and Zhang, Y. W. and Li, H.",A two-dimensional inverse heat conduction problem in estimating the fluid temperature in a pipeline,APPLIED THERMAL ENGINEERING,10.1016/j.applthermaleng.2010.03.011,2010,"An inverse heat conduction problem (IHCP) was investigated in the two-dimensional section of a pipe elbow with thermal stratification to estimate the unknown transient fluid temperatures near the inner wall of the pipeline. An inverse algorithm based on the conjugate gradient method (CGM) was proposed to solve the IHCP using temperature measurements on the outer wall. In order to examine the accuracy of estimations, some comparisons have been made in this case. The temperatures obtained from the solution of the direct heat conduction problem (DHCP) using the finite element method (FEM) were pseudo-experimental input data on the outer wall for the IHCP. Comparisons of the estimated fluid temperatures with experimental fluid temperatures near the inner wall showed that the IHCP could accurately capture the actual temperature in form of the frequency of the temperature fluctuations. The analysis also showed that the IHCP needed at least 13 measurement points for the average absolute error to be dramatically reduced for the present IHCP with 37 nodes on each half of the pipe wall. Crown Copyright (C) 2010 Published by Elsevier Ltd. All rights reserved.",1359-4311,NA,30,13,1574-1579,NA,NA,NA,NA,NA,J,"jiang, Pei-xue/AAP-9355-2020",37,WOS:000279907800008,6,40,0,0,0,0,NA,NA,Sep-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a Two-Dimensional Inverse Heat Conduction Problem in Estimating the Fluid Temperature in a Pipeline.,excluded,NA
Warhaft_2000_ANREOFFLME,"Warhaft, Z",Passive scalars in turbulent flows,ANNUAL REVIEW OF FLUID MECHANICS,10.1146/annurev.fluid.32.1.203,2000,"Passive scalar behavior is important in turbulent mixing, combustion, and pollution and provides impetus for the study of turbulence itself. The conceptual framework of the subject, strongly influenced by the Kolmogorov cascade phenomenology, is undergoing a drastic reinterpretation as empirical evidence shows that local isotropy, both at the inertial and dissipation scales, is violated. New results of the complex morphology of the scalar field are reviewed, and they are related to the intermittency problem. Recent work on other aspects of passive scalar behavior--its spectrum, probability density function, flux, and variance--is also addressed.",0066-4189,NA,32,NA,203-240,NA,NA,NA,NA,NA,J,NA,627,WOS:000085673500008,20,644,0,15,2,0,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Passive Scalars in Turbulent Flows.,excluded,NA
Zhang_2013_TIMACISAIV8,"Zhang, X. and Zhou, G. and Dong, B. and Li, Q. and Liu, L. Q.",Application of Inverse Heat Conduction Problem on Temperature Measurement,"TEMPERATURE: ITS MEASUREMENT AND CONTROL IN SCIENCE AND INDUSTRY, VOL 8",10.1063/1.4819532,2013,"For regenerative cooling devices, such as G-M refrigerator, pulse tube cooler or thermoacoustic cooler, the gas oscillating bring about temperature fluctuations inevitably, which is harmful in many applications requiring high stable temperatures. To find out the oscillating mechanism of the cooling temperature and improve the temperature stability of cooler, the inner temperature of the cold head has to be measured. However, it is difficult to measure the inner oscillating temperature of the cold head directly because the invasive temperature detectors may disturb the oscillating flow. Fortunately, the outer surface temperature of the cold head can be measured accurately by invasive temperature measurement techniques. In this paper, a mathematical model of inverse heat conduction problem is presented to identify the inner surface oscillating temperature of cold head according to the measured temperature of the outer surface in a GM cryocooler. Inverse heat conduction problem will be solved using control volume approach. Outer surface oscillating temperature could be used as input conditions of inverse problem and the inner surface oscillating temperature of cold head can be inversely obtained. A simple uncertainty analysis of the oscillating temperature measurement also will be provided.",0094-243X,NA,1552,NA,156-161-Measurements Int; Chino Corp; ICL Calibrat Lab; INSCO Instrumentat Serv;-Sensing Devices; Liu Res Lab; Thermoprobe; Rocky Mt Tissue Bank; Lake-Shore Cryotron; Thermoworks; Tovey Engn; Palmer Wahl Instrumentat Grp-US Natl Inst Standards & Technol; Measurement Sci Conf; Fluke Corp;,"MAR 19-23, 2012",NA,NA,NA,NA,S,NA,0,WOS:000331284900027,1,1,0,0,0,0,NA,NA,2013,NA,"Meyer, CW",978-0-7354-1178-4,"Los Angeles, CA",9th International Temperature Symposium on Temperature - Its Measurement and and Control in Science and Industry,NA,AIP Conference Proceedings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Application of Inverse Heat Conduction Problem on Temperature Measurement.,excluded,NA
Smith_1998_QUATRESE,"Smith, FA and Betancourt, JL",Response of bushy-tailed woodrats (Neotoma cinerea) to late Quaternary climatic change in the Colorado Plateau,QUATERNARY RESEARCH,10.1006/qres.1998.1982,1998,"Temperature profoundly influences the physiology and life history characteristics of organisms, particularly in terms of body size. Because so many critical parameters scale with body mass, long-term temperature fluctuations can have dramatic impacts. We examined the response of a small mammalian herbivore, the bushy-tailed woodrat (Neotoma cinerea), to temperature change from 20,000 yr B.P. to present, at five sites within the Colorado Plateau. Our investigations focused on the relationship between temperature, plant composition and abundance, and woodrat size. Body size was estimated by measuring fossil fecal pellets, a technique validated in earlier work. We found significant and highly covariable patterns in body mass over the five locations, suggesting that responses to temperature fluctuations during the late Quaternary have been very similar. Although woodrat mass and the occurrence of several plant species in the fossil record were significantly correlated, in virtually all instances changes in woodrat size preceded changes in vegetational composition. These results may be due to the greater sensitivity of woodrats to temperature, or to the shorter generation times of woodrats as compared to most plants. An alternative hypothesis is that winter temperatures increased before summer ones. Woodrats are highly sensitive to warmer winters, whereas little response would be expected from forest/woodland plants growing at their lower limits. Our work suggests that woodrat size is a precise paleothermometer, yielding information about temperature variation over relatively short-term temporal and regional scales. (C) 1998 University of Washington.",0033-5894,NA,50,1,11-Jan,NA,NA,NA,NA,NA,J,NA,58,WOS:000075375400001,0,59,0,44,0,1,NA,"Smith, Felisa/0000-0001-6262-436X",Jul-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Response of Bushy-Tailed Woodrats (Neotoma Cinerea) to Late Quaternary Climatic Change in the Colorado Plateau.,selected,NA
Xing_2015_FLORENTO,"Xing, Kun and Ma, Chun-Sen and Zhao, Fei and Han, Jv-Cai",Effects of large temperature fluctuations on hatching and subsequent development of the diamondback moth (Lepidoptera: Plutellidae),FLORIDA ENTOMOLOGIST,10.1653/024.098.0240,2015,"Temperature in habitats of organisms generally is not constant but changes spatially and temporally. When eggs of ectotherms are exposed to large temperature fluctuations, egg phenotypes and post-hatching traits may be altered, but little relevant information is available on insects. Hence, we simulated a set of natural diurnal temperature fluctuations each with the same mean temperature (25 +/- 0, 25 +/- 2, 25 +/- 4, 25 +/- 6, 25 +/- 8, 25 +/- 10 degrees C), to which we exposed the eggs of the diamondback moth, Plutella xylostella (L.) (Lepidoptera: Plutellidae), and assessed subsequent egg development, survival and post-hatching traits. Our results showed that there were no significant differences in these phenomena between the constant temperature treatment and the treatments with moderate temperature fluctuations. However, large temperature fluctuations slowed development and lowered hatching rate during the egg stage. In addition the effects of these large temperature fluctuations extended to the larval stage, but not to the pupal and adult stages. No apparent costs of compensatory responses, which occurred in the larval stage, were detected in the later stages. These findings indicate that fluctuating temperature effects are potentially important in predicting insect phenology and population dynamics. As an independent factor, the effects of temperature fluctuations on a stage in the life history must be factored into models for predicting insect development that are based on mean temperatures. The larger of the temperature fluctuations to which eggs of diamondback moth were exposed, affected development time, hatching rate, larval growth and pre-pupal mass.",0015-4040,NA,98,2,651-659,NA,NA,NA,1938-5102,NA,J,", /AAC-8601-2019; Ma, Chun-Sen/K-5414-2019; Zhao, Fei/",10,WOS:000356451400040,0,10,0,9,0,0,NA,"Ma, Chun-Sen/0000-0002-3253-6921; Zhao, Fei/0000-0003-4158-3604",Jun-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Effects of Large Temperature Fluctuations on Hatching and Subsequent Development of the Diamondback Moth (Lepidoptera: Plutellidae),selected,NA
Kovadlo_2012_OPTIPHYS,"Kovadlo, P. G. and Shikhovtsev, A. Yu and Kochetkova, O. S.",The investigation of spectrum shape of atmospheric inhomogeneities over an extended dynamic range,OPTICS/ATMOSPHERIC PHYSICS,10.1117/12.2009570,2012,"Energy spectra of wind speed fluctuations and temperature fluctuations are calculated at altitudes between 2 and 301 m for the period from January 1, 2008 to 31 December, 2008 by using results of numerical analysis of high-altitude meteorological mast data. Comparison of the shape of the calculated spectra with known shapes has confirmed presence of two basic regions of wavenumbers with an approximate ""-3"" dependence and ""-5/3"" dependence. The result obtained has been used for estimating of high-frequency characteristics of atmospheric turbulence using network meteorological data.",0277-786X,EIGHTEENTH INTERNATIONAL SYMPOSIUM ON ATMOSPHERIC AND OCEAN,8696,NA,"Branch Russian Acad Sci (SB RAS)-Federat, Minist Educ and Sci; Russian Fdn Basic Res (RFBR); Siberian-Siberian Branch Russian Acad Sci (SB RAS), Inst Solar-Terr Phys; Russian-Siberian Branch Russian Acad Sci (SB RAS), V E Zuev Inst Atmospher Opt;","JUL 02-06, 2012",NA,NA,1996-756X,NA,S,"Shikhovtsev, Artem Yurievich/F-2738-2017",0,WOS:000316691600006,0,0,0,0,0,0,869606,"Shikhovtsev, Artem Yurievich/0000-0002-1682-8182",2012,NA,"Matvienko, GG and Kurkin, VI and Romanovskii, OA",978-0-8194-9480-1,"Irkutsk, RUSSIA",18th International Symposium on Atmospheric and Ocean Optics/Atmospheric and Physics,NA,Proceedings of SPIE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Investigation of Spectrum Shape of Atmospheric Inhomogeneities over an Extended Dynamic Range.,excluded,NA
