label,author,title,journal,doi,year,abstract,citation,screened_titles,notes,screened_abstracts
Gonzalez.Fuentes_2016_SCIEHORT,"Gonzalez-Fuentes, Jose A. and Shackel, Kenneth and Lieth, J. Heinrich and Albornoz, Francisco and Benavides-Mendoza, Adalberto and Evans, Richard Y.","Diurnal root zone temperature variations affect strawberry water relations, growth, and fruit quality",SCIENTIA HORTICULTURAE,10.1016/j.scienta.2016.03.039,2016,"To test the hypothesis that the effect of daily root zone temperature (RZT) variations would affect strawberry plant performance, root systems of Control 'Albion' strawberry plants Treatment 1 (T1) were maintained at 20 degrees C (no stress), while plants in other treatments were exposed to different diurnal temperature swings about the daily mean of 20 degrees C. In treatment 2 (T2), temperature swing was 5 degrees C (mild) which had a total variation of 10 degrees C (Tvar-10) with a minimum of 15 degrees C and maximum of 25 C, treatment 3 (T3) had a variation about the mean of 10 degrees C (moderate) with a total variation of 20 degrees C (Tvar-20) with a minimum of 10 degrees C and maximum of 30 degrees C, or 15 degrees C (severe) swings about the mean in treatment 4 (T4) with a diurnal total variation of 30 C (Tvar-30) with a minimum of 5 C and maximum of 35 C. Leaf area and shoot dry weight of plants in the severe treatment were 30% lower than Controls. Root dry weight in the severe treatment was 30% lower than in the mild treatment. Fruits in the moderate and severe treatments were 22% smaller than in the mild treatment. Fruit soluble sugar content was elevated slightly by RZT fluctuation. Shoot concentrations of N, Mg, Fe, B, Zn were not affected by RZT, but there were small differences in concentrations of P, K, Ca, Mn, and Cu. Nutrient uptake of N and Ca were not affected, but P, K and Mg were about 35% less in Tvar-20 and Tvar-30. RZT variation had no effect on chlorophyll content or number of leaves, maximum carboxylation rate, photosynthetic electron transport rate, maximum CO2 assimilation rate, or fluorescence parameters (Fv/Fm and OPSII). There was little effect of RZT on predawn or midday stem water potential (SWP), but the SWP was substantially lowered in the severe treatment at mid -morning when RZT was about 5 C and air vapor pressure deficit was at its daily maximum. We attributed the reduced shoot and root growth to the transient reduction in SWP when RZT was near 5 C. Overall, the consequences of diurnal RZT fluctuations for strawberry production appear to be small if the minimum temperature is above 7 C. (C) 2016 Elsevier B.V. All rights reserved.","Diurnal Root Zone Temperature Variations Affect Strawberry Water Relations, Growth, and Fruit Quality.",selected,NA,selected
Grist_1998_IMJOOFMAAPINMEANBI,"Grist, EPM and des Clers, S",How seasonal temperature variations may influence the structure of annual squid populations,IMA JOURNAL OF MATHEMATICS APPLIED IN MEDICINE AND BIOLOGY,NA,1998,"Previous laboratory studies have established that temperature is highly influential in affecting both the growth and rife span of Cephalopoda. A major unresolved question is how such sensitivity to environmental factors may determine population structure. Extending a hypothesis first advanced by Forsythe (1993, in: Recent Advances in Fisheries Biology (T. Okutani, R. K. O'Dor, & T. Kubdera, eds.), Tokyo, Tokai University Press), we formulate a simple individual-level model which incorporates a two-stage growth response for squid hatchlings exposed to continuous seasonal fluctuations of temperature. We show that in seasonally fluctuating temperatures such a growth 'duality' can directly affect the size distribution of squid over the year and we demonstrate how in seasonally warming waters this mechanism may lead to younger individuals surpassing the size of older individuals. By postulating that development status can be inferred directly from size, we go on to propose a circle-map model of the whole squid life cycle. Numerical investigations into the iterative dynamics support the hypothesis that the progeny from such a population can rapidly separate to a low number of tightly synchronized cohorts within a few generations.",How Seasonal Temperature Variations may Influence the Structure of Annual Squid Populations.,selected,NA,selected
Hawes_2008_POLABIOL,"Hawes, T. C. and Bale, J. S. and Worland, M. R. and Convey, P.","Trade-offs between microhabitat selection and physiological plasticity in the Antarctic springtail, Cryptopygus antarcticus (Willem)",POLAR BIOLOGY,10.1007/s00300-008-0406-3,2008,"In the maritime Antarctic, terrestrial arthropods have recourse to two strategies to mitigate low summer temperatures: (1) physiological plasticity and (2) avoidance via microhabitat insulation. This study investigated the interaction between these strategies in the springtail, Cryptopygus antarcticus, established in situ within contrasting microcosms (buffered vs. exposed) and within two sets of habitat simulations (wet vs. dry) over diurnal scales through the Antarctic summer. Significant differences were found in the cold hardiness of springtails sampled simultaneously from each microcosm. Exposed animals showed greater plasticity in the ""true"" austral summer, but as field temperatures declined preceding the onset of winter, buffered animals showed greater resilience. Overall, water was found to inhibit the buffering effect of moss and there was a significantly greater discrimination between buffered and exposed microcosms in the dry treatment. Analysis of microhabitat temperatures indicate that it is thermal variability not lower temperature that is responsible for the greater plasticity of exposed animals.","Trade-Offs Between Microhabitat Selection and Physiological Plasticity in the Antarctic Springtail, Cryptopygus Antarcticus (Willem)",selected,NA,selected
Heine_2014_ENVSCIANDPOLRES,"Heine, S. and Schmitt, W. and Goerlitz, G. and Schaeffer, A. and Preuss, T. G.",Effects of light and temperature fluctuations on the growth of Myriophyllum spicatum in toxicity tests-a model-based analysis,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,10.1007/s11356-014-2886-8,2014,"Laboratory toxicity tests are a key component of the aquatic risk assessments of chemicals. Toxicity tests with Myriophyllum spicatum are conducted based on working procedures that provide detailed instructions on how to set up the experiment, e.g., which experimental design is necessary to get reproducible and thus comparable results. Approved working procedures are established by analyzing numerous toxicity tests to find a compromise between practical reasons (e.g., acceptable ranges of ambient conditions as they cannot be kept completely constant) and the ability for detecting growth alterations. However, the benefit of each step of a working procedure, e.g., the random repositioning of test beakers, cannot be exactly quantified, although this information might be useful to evaluate working procedures. In this paper, a growth model of M. spicatum was developed and used to assess the impact of temperature and light fluctuations within the standardized setup. It was analyzed how important it is to randomly reassign the location of each plant during laboratory tests to keep differences between the relative growth rates of individual plants low. Moreover, two examples are presented on how modeling can give insight into toxicity testing. Results showed that randomly repositioning of individual plants during an experiment can compensate for fluctuations of light and temperature. A method is presented on how models can be used to improve experimental designs and to quantify their benefits by predicting growth responses.",Effects of Light and Temperature Fluctuations on the Growth of Myriophyllum Spicatum in Toxicity Tests-a Model-Based Analysis.,selected,NA,selected
Imholt_2011_JOOFFIBI,"Imholt, C. and Malcolm, I. A. and Bacon, P. J. and Gibbins, C. N. and Soulsby, C. and Miles, M. and Fryer, R. J.",Does diurnal temperature variability affect growth in juvenile Atlantic salmon Salmo salar?,JOURNAL OF FISH BIOLOGY,10.1111/j.1095-8649.2010.02838.x,2011,"This study investigated the effects of diurnal temperature variability (> 7 degrees C) on the growth of 1+ year Atlantic salmon Salmo salar. Experimental manipulation of water temperature was used to simulate: (1) constant and (2) naturally varying thermal regimes with similar daily mean values. Data from two replicates of four treatments (two thermal and two feeding regimes) were collected over 6 months corresponding to the main spring to summer growth period. Fish growth was assessed at fortnightly intervals. Small but significant differences in mean fork length (L-F) and mass were observed between temperature treatments, with smaller, lighter fish under the variable temperature regime. The effects of temperature regime on growth were independent of food ration. At termination of the experiment, the median L-F and mass of fish exposed to the variable temperature regime were estimated, respectively, to be 2 center dot 6 and 8 center dot 0% less than those under the constant regime. Given the relatively small differences in growth attributable to variable temperature regime in these experiments, it is suggested that mean daily temperatures are adequate to inform juvenile growth models for field-based studies.",Does Diurnal Temperature Variability Affect Growth in Juvenile Atlantic Salmon Salmo Salar?,selected,NA,selected
Jiang_2016_AQUA,"Jiang, Weiwei and Li, Jiaqi and Gao, Yaping and Mao, Yuze and Jiang, Zengjie and Du, Meirong and Zhang, Yuan and Fang, Jianguang","Effects of temperature change on physiological and biochemical responses of Yesso scallop, Patinopecten yessoensis",AQUACULTURE,10.1016/j.aquaculture.2015.10.012,2016,"Water temperature can be a significant environmental stressor that affects the physiological and biochemical responses of mollusks. Yesso scallop, Patinopecten yessoensis, is influenced by water temperature fluctuations caused by the Northern Yellow Sea Cold Water Mass. Here, the effects of acute seawater temperature change, gradual temperature change, and fluctuating temperature on the physiological and enzymatic activities in Yesso scallop were studied. Scallops were transferred directly from rearing temperature (15 degrees C) to 5, 10, or 20 degrees C for the acute water temperature change treatment. Scallops in the gradual water temperature change treatment were acclimated to different temperatures (5, 10, and 20 degrees C) by increasing or decreasing seawater temperature progressively (1-2 degrees C/day). The results showed that oxygen consumption and ammonia-N excretion rates in the 20 degrees C-acute water temperature change treatment were significantly higher than those in the gradual treatment (one-way ANOVA, P < 0.01). However, scallop ingestion rate decreased significantly in response to an acute water temperature decrease from 15 to 5 degrees C, compared with equivalent groups exposed to a gradual temperature drop (one-way ANOVA, P < 0.01). Moreover, hepatopancreatic superoxide dismutase (SOD), catalase (CAT), acid phosphatase (ACP), and lysozyme (LSZ) activities reached their highest levels in the 20 degrees C-acute treatment after 12 h. Malondialdehyde (MDA) content increased significantly following the acute water temperature changes and reached the highest level in 10 degrees C-acute treatment after 72 h. Heat shock protein70 gene (Hsp70) expression levels also increased significantly when water temperature was increased rapidly from 15 to 20 degrees C or decreased rapidly from 15 to 10 degrees C (P < 0.01). In the fluctuation treatment, seawater temperature was altered every 12 h for a total of six fluctuations. Scallops were transferred directly from 15 to 7 degrees C (first fluctuation), moved from 7 to 15 degrees C for the next 12 h (second fluctuation), and then transferred from 15 to 7 degrees C again (third fluctuation) and so on. As results, significant increases in SOD and CAT activities and MDA content, and decreases in ACP and LSZ activities were observed (one-way ANOVA, P < 0.01). Significantly upregulated Hsp70 expression was also found in hemocytes, gills, and the adductor muscle of scallops in the fluctuating temperature treatment (one-way ANOVA, P < 0.01). In conclusion, acute water temperature changes and fluctuations impacted the physiological and enzymatic activities of Yesso scallops and upregulated Hsp70 expression. (C) 2015 Elsevier B.V. All rights reserved.","Effects of Temperature Change on Physiological and Biochemical Responses of Yesso Scallop, Patinopecten Yessoensis.",selected,NA,selected
Jiang_2018_F.SI,"Jiang, Weiwei and Lin, Fan and Fang, Jianguang and Gao, Yaping and Du, Meirong and Fang, Jinghui and Li, Wenhao and Jiang, Zengjie","Transcriptome analysis of the Yesso scallop, Patinopecten yessoensis gills in response to water temperature fluctuations",FISH & SHELLFISH IMMUNOLOGY,10.1016/j.fsi.2018.05.038,2018,"Water temperature fluctuations are considered to be a major factor affecting the immune functions and metabolic processes of scallops. To better understand the immune defense mechanisms of Yesso scallop, Patinopecten yessoensis following exposure to water temperature fluctuations, transcriptomic profiles in the gills from high-frequency fluctuations (HF_G), low-frequency fluctuations (LF_G), and no fluctuations (NF_G) groups were obtained using HiSeq(TM) 2500 (Illumina). For HF_G, scallops were transferred directly between 18 and 8 degrees C every 4 h and for 10 fluctuations, while scallops in LF_G were transferred between 18 and 13 degrees C every 12 h, for a total of 4 fluctuations. A total of 442,922,590 clean reads were generated in 9 libraries and then assembled into 210,780 unigenes with an average length of 705 bp and an N50 of 1253 bp. Based on sequence similarity, 54,529 unigenes (25.87%) were annotated in at least one database. Comparative analysis revealed that 696 unigenes differentially expressed in temperature stressed groups compared with the control, including 229 unigenes between HF_G and NF_G, and 548 unigenes between LF_G and NF_G, respectively. Additionally, among these differentially expressed genes (DEGs), there were 41 immune-related unigenes and 16 protein metabolism-related unigenes. These results provide fundamental information on the molecular defense mechanisms in the Yesso scallop gills after exposure to water temperature fluctuations.","Transcriptome Analysis of the Yesso Scallop, Patinopecten Yessoensis Gills in Response to Water Temperature Fluctuations.",selected,NA,selected
Karimmojeny_2014_BRJOOFBO,"Karimmojeny, Hassan and Rezvani, Mohammad and Zaefarian, Faezeh and Nikneshan, Pejman",Environmental and maternal factors affecting on oriental mustard (Sisymbrium orientale L.) and musk weed (Myagrum perfoliatum L.) seed germination,BRAZILIAN JOURNAL OF BOTANY,10.1007/s40415-014-0058-1,2014,"The effects of environmental and maternal factors on seed germination of oriental mustard and musk weed factors were investigated through a series of laboratory and pot experiments. In experiment 1, the effect of seed coat removal on musk weed seed germination at 25/ 15 degrees C (day/night) was evaluated. In experiment 2, seeds of both weeds were subjected to temperature and after-ripening treatments. In experiment 3, oriental mustard and musk weed seeds were treated by gibberellic acid (GA(3)). Experiment 4 was set up to evaluate the effects of intra and interspecific competition and seed position on plant canopy on seed germination behavior of oriental mustard. Seed coat-inhibited germination of musk weed. Dry after-ripening and temperature fluctuations did not promote germination of musk weed seed, while oriental mustard seed germination was promoted by after-ripening and temperature treatments. The maximum germination of oriental mustard seed occurred at 25/15 degrees C temperature and 2 months after ripening. Except in chickpea treatment, intra and interspecific competitions reduced oriental mustard seed germination. Seed dormancy in different layers of oriental mustard canopy was varied. Also, seed position on mother plant influenced the seed germination behavior of oriental mustard.",Environmental and Maternal Factors Affecting on Oriental Mustard (Sisymbrium Orientale L.) and Musk Weed (Myagrum Perfoliatum L.) Seed Germination.,selected,NA,selected
Lei.Shuhan_2012_CHJOOFOCANLI,Lei Shuhan and Zhang Xiumei and Liu Songlin and Chen Siqing,Effects of temperature fluctuations on cuttlebone formation of cuttlefish Sepia esculenta,CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY,10.1007/s00343-012-1221-9,2012,"The morphological characteristics and the cuttlebone formation of Sepia esculenta exposed to different water temperature fluctuations were investigated under laboratory conditions. Temperature fluctuation cycles (15 cycles, 60 d in total) consisted of the following three regimes of 4 d duration: keeping water temperature in 26A degrees C for 3 d (Group A), 2 d (Group B), 0 d (Group C, control); then keeping water temperature in 16A degrees C for the next 1, 2, 4 d. No significant difference in the survival rate was observed between the control and temperature fluctuation groups (P > 0.05). Lamellar depositions in a temperature fluctuation cycle were 2.45 +/- 0.02 for Group A, 2.00 +/- 0.02 for Group B, and 1.78 +/- 0.02 for Group C (P < 0.05). The relationship between age and number of lamellas in the cuttlebone of S. esculenta under each water temperature fluctuation could be described as the linear model and the number of lamellas in the cuttlebone did not correspond to actual age. Group A had the highest cuttlebone growth index (CGI), the lowest locular index (LI), and inter-streak distances comparing with those of control group. However, the number of lamellas and LI or CGI showed a quadratic relationship for each temperature fluctuation group. In addition, temperature fluctuations caused the breakage of cuttlebone dark rings, which was considered a thermal mark. The position of the breakage in the dark rings was random. This thermal mark can be used as supplementary information for marking and releasing techniques.",Effects of Temperature Fluctuations on Cuttlebone Formation of Cuttlefish Sepia Esculenta.,selected,NA,selected
Li_2015_DEEPRESEPARTI.OCRESEPAPE,"Li, Feili and Jo, Young-Heon and Yan, Xiao-Hai and Liu, W. Timothy",Varying temperature and heat content signatures in the central Labrador Sea at different layers and timescales,DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,10.1016/j.dsr.2015.04.012,2015,"The dominant modes of variability in the temperature and ocean heat content (OHC; 0-1000 m) of the central Labrador Sea were investigated using the Hilbert-Huang Transform (HHT) based on Argo profiles collected during 2003-2012. Warming trends of approximately 0.03 degrees C yr(-1) were observed in the upper 2000 m of the water column. A strong annual temperature cycle exists and dominates at the 500 m depth, while signals at the interannual timescales can explain most of the temperature variability at the 1000 m and 1500 m depths. These interannual signals are closely correlated to the variability of deep convection in the Labrador Sea, which has intermittent enhancement of mixed layer depth (MLD) > 1500 m. The Hilbert spectrum from the OHC in the Labrador Sea interior reveals two important components at frequencies of 0.8-1.2 cycle yr(-1) (T=0.8-1.25 years) and 0.1-0.3 cycle yr(-1) (T=3.3-10 years), respectively, superimposed on the warming trends. The former corresponds to the dominant seasonal cycle due to surface heating, while the latter is concomitant with the timing of the reoccurrence of convective events. We also found that the cumulative North Atlantic Oscillation (NAO) index significantly correlates to the low-frequency OHC variations. Therefore, the interannual signals in the Labrador Sea at especially the intermediate layers are attributed to changes in the deep convective processes and the atmospheric conditions. By comparing with an extended OHC record (1945-2010), it was further shown that the warming trends obtained from the 10-year Argo record are part of multi-decadal variations that presumably reflect the Atlantic Multi-decadal Oscillation (AMC). In addition, the recent OHC changes in the Labrador Sea (i.e., increased heat in the deeper layers) may be related to the current global warming hiatus, suggesting the potential contributions from the Atlantic Meridional Overturning Circulation (AMOC) to the low-frequency OHC in the Labrador Sea. (C) 2015 Elsevier Ltd. All rights reserved.",Varying Temperature and Heat Content Signatures in the Central Labrador Sea at Different Layers and Timescales.,selected,NA,selected
Luedecke_2011_E.E,"Luedecke, Horst-Joachim",LONG-TERM INSTRUMENTAL AND RECONSTRUCTED TEMPERATURE RECORDS CONTRADICT ANTHROPOGENIC GLOBAL WARMING,ENERGY & ENVIRONMENT,NA,2011,"This paper analyses the monthly instrumental temperature records from 5 stations in the northern hemisphere, each of which are reliable, local and well over 200 years in length, as well as two reconstructed long-range yearly records from a stalagmite near Innsbruck and from tree rings in the northern hemisphere that are about 2000 years long. In the instrumental records, the steepest fall in 100-year linear regression lines happened in the 19th century and the steepest rise in the 20th century, both events being of about the same magnitude. Evaluation by fluctuation analysis (FA) and detrended fluctuation analysis (DFA) revealed that both the 19th century fall and the 20th century rise have very small natural probabilities and must therefore be trends caused by external forcings. In contrast to this, the reconstructed records show far steeper 100-year rises and falls as quite common during the last 2000 years. Consequently, their DFA evaluation revealed far greater Hurst exponents. These results contradict the hypothesis of an unusual (anthropogenic) global warming during the 20th century. The cause of the different Hurst exponents for the instrumental and the reconstructed temperature records is not known. As a speculative hypothesis, the sun's magnetic field, which is correlated with sunspot numbers, could be put forward as an explanation. The long-term low-frequency fluctuations in sunspot numbers are not detectable by FA/DFA in the monthly instrumental records, resulting in low Hurst exponents. The same does not hold true for the 2000-year-long reconstructed records, which explains both their higher Hurst exponents and the higher probabilities of strong 100-year temperature fluctuations being quite common. A long-term synthetic record that embodies the reconstructed sunspot number fluctuations includes the different Hurst exponents of both the instrumental and the reconstructed records and, therefore, corroborates the conjecture.",Long-Term Instrumental and Reconstructed Temperature Records Contradict Anthropogenic Global Warming.,selected,another good background paper for writing about justification for studying patterns of environmental variability all all timescales,selected
Massey_2020_PHYS,"Massey, Melanie D. and Hutchings, Jeffrey A.",Thermal variability during ectotherm egg incubation: A synthesis and framework,PHYSIOLOGY,10.1002/jez.2400,2020,"Natural populations of ectothermic oviparous vertebrates typically experience thermal variability in their incubation environment. Yet an overwhelming number of laboratory studies incubate animals under constant thermal conditions that cannot capture natural thermal variability. Here, we systematically searched for studies that incubated eggs of ectothermic vertebrates, including both fishes and herpetofauna, under thermally variable regimes. We ultimately developed a compendium of 66 studies that used thermally variable conditions for egg incubation. In this review, we qualitatively discuss key findings from literature in the compendium, including the phenotypic effects resulting from different patterns of thermally variable incubation, as well as the ontogenetic persistence of these effects. We also describe a physiological framework for contextualizing some of these effects, based on thermal performance theory. Lastly, we highlight key gaps in our understanding of thermally variable incubation and offer suggestions for future studies.",Thermal Variability During Ectotherm Egg Incubation: a Synthesis and Framework.,selected,NA,selected
Monetti_2003_PHYA.SMECANDITSAPP,"Monetti, RA and Havlin, S and Bunde, A",Long-term persistence in the sea surface temperature fluctuations,PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,10.1016/S0378-4371(02)01662-X,2003,"We study the temporal correlations in the sea surface temperature (SST) fluctuations around the seasonal mean values in the Atlantic and Pacific Oceans. We apply a method that systematically overcome possible trends in the data. We find that the SST persistence, characterized by the correlation C(s) of temperature fluctuations separated by a time period s, displays two different regimes. In the short-time regime which extends up to roughly 10 months, the temperature fluctuations display a non-stationary behavior for both oceans, while in the asymptotic regime it becomes stationary. The long-term correlations decay as C(s) similar to s(-gamma) with gamma similar to 0.4 for both oceans which is different from gamma similar to 0.7 found for atmospheric land temperature. (C) 2002 Elsevier Science B.V. All rights reserved.",Long-Term Persistence in the Sea Surface Temperature Fluctuations.,selected,background paper for sst ,selected
Morissette_2020_JOOFFIBI,"Morissette, Jenna and Swart, Sula and MacCormack, Tyson J. and Currie, Suzanne and Morash, Andrea J.","Thermal variation near the thermal optimum does not affect the growth, metabolism or swimming performance in wild Atlantic salmon (Salmo salar)",JOURNAL OF FISH BIOLOGY,10.1111/jfb.14348,2020,"Typically, laboratory studies on the physiological effects of temperature are conducted using stable acclimation temperatures. Nonetheless, information extrapolated from these studies may not accurately represent wild populations living in thermally variable environments. The aim of this study was to compare the growth rate, metabolism and swimming performance of wild Atlantic salmon exposed to cycling temperatures, 16-21 degrees C, and stable acclimation temperatures, 16, 18.5, 21 degrees C. Growth rate, metabolic rate, swimming performance and anaerobic metabolites did not change among acclimation groups, suggesting that within Atlantic salmon's thermal optimum range, temperature variation has no effect on these physiological properties.","Thermal Variation Near the Thermal Optimum Does not Affect the Growth, Metabolism or Swimming Performance in Wild Atlantic Salmon (Salmo Salar)",selected,NA,selected
Nilsson.Ortman_2012_ECOL,"Nilsson-Ortman, Viktor and Stoks, Robby and De Block, Marjan and Johansson, Frank",Generalists and specialists along a latitudinal transect: patterns of thermal adaptation in six species of damselflies,ECOLOGY,NA,2012,"Tropical organisms colonizing temperate environments face reduced average temperatures and dramatic thermal fluctuations. Theoretical models postulate that thermal specialization should be favored either when little environmental variation is experienced within generations or when among-generation variation is small relative to within-generation variation. To test these predictions, we studied six temperate species of damselflies differing in latitudinal distribution. We developed a computer model simulating how organisms experience environmental variation (accounting for diapause and voltinism) and performed a laboratory experiment assaying thermal sensitivities of growth rates. The computer model showed opposing latitudinal trends in among-and within-generation thermal variability: within-generation thermal variability decreased toward higher latitudes, whereas relative levels of among-generation thermal variability peaked at midlatitudes (where a shift in voltinism occurred). The growth experiment showed that low-latitude species were more thermally generalized than mid- and high-latitude species, supporting the prediction that generalists are favored under high levels of within-generation variation. Northern species had steeper, near-exponential reaction norms suggestive of thermal specialization. However, they had strikingly high thermal optima and grew very slowly over most of the thermal range they are expected to experience in the field. This observation is at present difficult to explain. These results highlight the importance of considering interactions between life history and environmental variation when deriving expectations of thermal adaptation.",Generalists and Specialists along a Latitudinal Transect: Patterns of Thermal Adaptation in Six Species of Damselflies.,selected,background theory ,selected
Nilsson.Ortman_2013_Figs_1,"Nilsson-Ortman, Viktor and Stoks, Robby and De Block, Marjan and Johansson, Frank",Changes in temperature-specific growth rates across ontogeny in damselfly larvae,Figshare,NA,2013,"Growth rates (""gr"") of larvae of six species of damselflies reared in the laboratory at three or four temperatures (""temp""). Growth rates represent size-corrected relative growth rates (in the unit off mm increase in headwidth/day; the size-correction was done using Equation 8 in the corresponding article) estimated during early (day 0-42), intermediate (day 42-84) and late ontogeny (day 84-126)(""period""). Copyright: CC-0",Changes in Temperature-Specific Growth Rates Across Ontogeny in Damselfly Larvae.,selected,may not be relevant if temperatures are discrete temperatures,selected
Norsazwan_2020_SEESCIANDTEC,"Norsazwan, M. G. and Sinniah, U. R. and Puteh, A. B. and Namasivayam, P. and Mohaimi, M. and Aminuddin, I. A.",Temperature fluctuation improves oil palm (Elaeis guineensis) dura x pisifera seed germination,SEED SCIENCE AND TECHNOLOGY,10.15258/sst.2020.48.1.07,2020,"Oil palm is mainly propagated using dura x pisifera (D x P) hybrid seeds. Among the issues in D x P seed production are relatively poor seed germination and uniformity, despite heat treatment at 40 degrees C to break dormancy. The conditions for germination post-heat-treatment may be a contributing factor. This study aimed to evaluate and compare the effect of constant 30 degrees C or ambient temperature fluctuation at two different locations, Sime Darby Oil Palm Breeding Seed Processing Renggam, Johor and the Seed Production Unit (SPU) Banting, Selangor on oil palm D x P seed germination. At both locations, final mean germination percentage and speed were higher at fluctuating temperatures compared with constant 30 degrees C. Under fluctuating conditions, the Oil Palm Breeding Seed Processing Renggam environment resulted in higher germination (85.8%) compared with SPU Banting (69.8%). Thus, the higher temperature amplitude (difference between daily maximum and minimum temperatures) was an important factor, resulting in higher germination. Therefore, oil palm can be germinated under ambient temperature conditions to obtain higher germination than under constant temperature, avoiding the need for maintaining expensive constant temperature germination rooms. In addition, a sufficiently high temperature amplitude can be beneficial in improving the ability to germinate and the speed of germination.",Temperature Fluctuation Improves Oil Palm (Elaeis Guineensis) Dura x Pisifera Seed Germination.,selected,ambient temp fluxes??,selected
Nowosad_2014_JOOFTHBI,"Nowosad, Joanna and Targonska, Katarzyna and Chwaluczyk, Rafal and Kaszubowski, Rafal and Kucharczyk, Dariusz",Effect of temperature on the effectiveness of artificial reproduction of dace [Cyprinidae (Leuciscus leuciscus (L.)] under laboratory and field conditions,JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2014.07.011,2014,"This study sought to determine the effect of water temperature on the effectiveness of artificial reproduction of dace brooders under laboratory and field conditions. Three temperatures were tested in the laboratory: 9.5, 12 and 14.5 degrees C (+/- 0.1 degrees C). The water temperature under field conditions was 11.0 +/- 0.3 degrees C (Czarci jar Fish Farm) and 13.2 +/- 1.4 degrees C (janowo Fish Farm). The study showed that artificial reproduction of dace is possible in all the temperature ranges under study and an embryo survival rate of over 87% can be achieved. Dace has also been found to be very sensitive to rapid temperature changes, even within the temperature ranges optimal for the species. Such changes have an adverse effect on the outcome of the reproduction process, such as a decrease in the percentage of reproducing females, a decrease in the pseudo-gonado-somatic index (PGS1) and a decrease in the embryo survival rate. (C) 2014 Elsevier Ltd. All rights reserved.",Effect of Temperature on the Effectiveness of Artificial Reproduction of Dace [cyprinidae (Leuciscus Leuciscus (L.)] under Laboratory and Field Conditions.,selected,NA,selected
Ortega.Mayagoitia_2018_Figs,"Ortega-Mayagoitia, Elizabeth and Hernandez-Martinez, Osvaldo and Ciros-Perez, Jorge",Phenotypic plasticity of life-history traits of a calanoid copepod in a tropical lake: Is the magnitude of thermal plasticity related to thermal variability?,Figshare,NA,2018,"According to the Climatic Variability Hypothesis [CVH], thermal plasticity should be wider in organisms from temperate environments, but is unlikely to occur in tropical latitudes where temperature fluctuations are narrow. In copepods, food availability has been suggested as the main driver of phenotypic variability in adult size if the range of temperature change is less than 14C. Leptodiaptomus garciai is a calanoid copepod inhabiting Lake Alchichica, a monomictic, tropical lake in Mexico that experiences regular, narrow temperature fluctuations but wide changes in phytoplankton availability. We investigated whether the seasonal fluctuations of temperature and food produce phenotypic variation in the life-history traits of this tropical species. We sampled L. garciai throughout a year and measured female size, egg size and number, and hatching success, along with temperature and phytoplankton biomass. The amplitude of the plastic responses was estimated with the Phenotypic Plasticity Index. This index was also computed for a published dataset of 84 copepod populations to look if there is a relationship between the amplitude of the phenotypic plasticity of adult size and seasonal change in temperature. The temperature annual range in Lake Alchichica was 3.2C, whereas phytoplankton abundance varied 17-fold. A strong pattern of thermal plasticity in egg size and adult female size followed the inverse relationship with temperature commonly observed in temperate environments, although its adaptive value was not demonstrated. Egg number, relative reproductive effort and number of nauplii per female were clearly plastic to food availability, allowing organisms to increase their fitness. When comparing copepod species from different latitudes, we found that the magnitude of thermal plasticity of adult size is not related to the range of temperature variation; furthermore, thermal plasticity exists even in environments of limited temperature variation, where the response is more intense compared to temperate populations. Copyright: CC BY 4.0",Phenotypic Plasticity of Life-History Traits of a Calanoid Copepod in a Tropical Lake: Is the Magnitude of Thermal Plasticity Related to Thermal Variability?,selected,likely not extractable ,selected
Ortega.Mayagoitia_2018_Figs_1,"Ortega-Mayagoitia, Elizabeth and Hernandez-Martinez, Osvaldo and Ciros-Perez, Jorge",Correlation coefficients and associated probabilities for the relationship between the index of phenotypic plasticity (PPI) for adult female size and latitude and thermal variables,Figshare,http://dx.doi.org/10.1371/journal.pone.0196496.t001,2018,Correlation coefficients and associated probabilities for the relationship between the index of phenotypic plasticity (PPI) for adult female size and latitude and thermal variables. Copyright: CC BY 4.0,Correlation Coefficients and Associated Probabilities for the Relationship Between the Index of Phenotypic Plasticity (Ppi) for Adult Female Size and Latitude and Thermal Variables.,selected,NA,selected
