label,author,title,journal,doi,year,abstract,issn,citation,screened_titles,notes,screened_abstracts,downloaded,extractable,figures,organization,notes
Garcia.Ruiz_2011_ENVIENTO,"Garcia-Ruiz, E. and Marco, V. and Perez-Moreno, I.","Effects of Variable and Constant Temperatures on the Embryonic Development and Survival of a New Grape Pest, Xylotrechus arvicola (Coleoptera: Cerambycidae)",ENVIRONMENTAL ENTOMOLOGY,10.1603/EN11080,2011,"Xylotrechus arvicola Olivier (Coleoptera: Cerambycidae) has become a new expanding pest in grape (Vitis spp.) crops. To better improve control tactics, the consequences of 11 constant (12, 15, 18, 21, 24, 27, 30, 32, 34, 35 and 36 degrees C) and nine variable temperatures (with equal mean temperatures at each of the nine constant rates ranging from 15to35 degrees C) on survival and embryonic development were studied. The eggs were able to complete development at constant temperatures between 15 and 35 degrees C, with mortality rates at the extremes of the range of two and 81.5%, respectively. Using variable temperatures a mortality rate of 38.9% at a mean temperature of 15 degrees C and 99% at 35 degrees C was observed. The range of time for embryonic development was 29.5 d at 15 degrees C to 6 d at 32 degrees C at constant temperatures, and from 29.6 d at 15 degrees C to 7.2 d at 32 degrees C at variable temperatures. The goodness-of-fit of different development models was evaluated for the relationship between the development rate and temperature. The models that gave the best fit were the Logan type III for constant temperatures and the Briere for variable temperatures. Optimum temperatures were estimated to be from 31.7 to 32.9 degrees C. The models that best described embryo development under natural field conditions were the Logan type III model for constant temperatures (98.7% adjustment) and the Lactin model for variable temperatures (99.2% adjustment). Nonlinear models predicted faster development at constant temperatures and slower development at variable ones when compared with real field development, whereas the linear model always predicted faster development than what actually took place.",0046-225X,"Effects of Variable and Constant Temperatures on the Embryonic Development and Survival of a New Grape Pest, Xylotrechus Arvicola (Coleoptera: Cerambycidae)",selected,extractable,selected,y,y ,table 1,organismal ,
Glass_2019_BIJOOFTHLISO,"Glass, Jordan R. and Stahlschmidt, Zachary R.",Should I stay or should I go? Complex environments influence the developmental plasticity of flight capacity and flight-related trade-offs,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,10.1093/biolinnean/blz073,2019,"Complex environments, characterized by co-varying factors (e.g. temperature and food availability) may cause animals to invest resources differentially into fitness-related traits. Thus, experiments manipulating multiple environmental factors concurrently provide valuable insight into the role of the environment in shaping not only important traits (e.g. dispersal capacity or reproduction), but also trait-trait interactions (e.g. trade-offs between traits). We used a multi-factorial design to manipulate variation in temperature (constant 28 degrees C vs. 28 +/- 5 degrees C daily cycle) and food availability (unlimited vs. intermittent access) throughout development in the sand field cricket (Gryllus firmus). Using a univariate approach, we found that temperature variability and unlimited food availability promoted survival, development, growth, body size and/or reproductive investment. Using principal components as indices of resource allocation strategy, we found that temperature variability and unlimited food reduced investment into flight capacity in females. Thus, we detected a sex-specific trade-off between flight and other life-history traits that was developmentally plastic in response to variation in temperature and food availability. We develop an experimental and statistical framework to reveal shifts in correlative patterns of investment into different life-history traits. This approach can be applied to a range of biological systems to investigate how environmental complexity influences traits and trait trade-offs.",0024-4066,Should i Stay or Should i Go? Complex Environments Influence the Developmental Plasticity of Flight Capacity and Flight-Related Trade-Offs.,selected,extractable,selected,y,y ,"figure 2, 3",organismal ,dig into use of PCA here 
Javal_2016_ANIMBIOL,"Javal, Marion and Renault, David and Colinet, Herve",Impact of fluctuating thermal regimes on Drosophila melanogaster survival to cold stress,ANIMAL BIOLOGY,10.1163/15707563-00002510,2016,"Temperature directly affects survival, development and reproduction in insects and thereby it is a key environmental driver for geographic distribution and population dynamics. This study aims at testing the survival of Drosophila melanogaster under constant low temperatures (CLTs) (2, 3, 4, and 5 degrees C) vs. fluctuating thermal regimes (FTRs). In the latter, the cold stress period was interrupted daily by 2 h pulses at 20 degrees C. Since acclimation enhances cold tolerance, we tested whether benefits of acclimation can combine with those of FTRs. Since D. melanogaster overwinters as non-reproductive adults, we tested if actively reproducing adults are more susceptible to cold stress than virgin females that have a much reduced reproductive activity. The results show that short interruptions of cold stress enhanced survival of adult flies. Survival was time- and temperature-dependent. Prior acclimation to low temperature allowed flies to better cope with cold stress under CLTs. On the other hand, acclimated flies did not profit from the benefits of FTRs and even showed lower survival under FTRs, probably because flies deacclimated during the periodic warm intervals. Gravid females were overall less cold tolerant than virgin females, and both survived better under FTRs. Cold survival at pupal stage was much lower than at adult stage, and no clear benefit of FIR was observed in this life stage. Our study highlights critical variables to take into account when designing experiments of prolonged exposure to low temperature in insects.",1570-7555,Impact of Fluctuating Thermal Regimes on Drosophila Melanogaster Survival to Cold Stress.,selected,extractable,selected,y,y ,"figure 1,2,3",organismal ,not sure about the different life stages manipulated 
Kern_2015_JOOFEXBI,"Kern, Pippa and Cramp, Rebecca L. and Franklin, Craig E.",Physiological responses of ectotherms to daily temperature variation,JOURNAL OF EXPERIMENTAL BIOLOGY,10.1242/jeb.123166,2015,"Daily thermal fluctuations (DTFs) impact the capacity of ectotherms to maintain performance and energetic demands because of thermodynamic effects on physiological processes. Mechanisms that reduce the thermal sensitivity of physiological traits may buffer ectotherms from the consequences of DTFs. Species that experience varying degrees of DTFs in their environments may differ in their responses to thermally variable conditions, if thermal performance curves reflect environmental conditions. We tested the hypothesis that in response to DTFs, tadpoles from habitats characterised by small DTFs would show greater plasticity in the thermal sensitivity of physiological processes than tadpoles from environments characterised by large DTFs. We tested the thermal sensitivity of physiological traits in tadpoles of three species that differ naturally in their exposure to DTFs, raised in control (24 degrees C) and DTF treatments (20-30 degrees C and 18-38 degrees C). DTFs reduced growth in all species. Development of tadpoles experiencing DTFs was increased for tadpoles from highly thermally variable habitats (similar to 15%), and slower in tadpoles from less thermally variable habitats (similar to 30%). In general, tadpoles were unable to alter the thermal sensitivity of physiological processes, although DTFs induced plasticity in metabolic enzyme activity in all species, although to a greater extent in species from less thermally variable environments. DTFs increased upper thermal limits in all species (between 0.89 and 1.6 degrees C). Our results suggest that the impact of increased thermal variability may favour some species while others are negatively impacted. Species that cannot compensate for increased variability by buffering growth and development will probably be most affected.",0022-0949,Physiological Responses of Ectotherms to Daily Temperature Variation.,selected,extractable,selected,y,y ,"table 1, figure 2, 3, 5",organismal ,looks like the responses were generated in different temperature treatments from their constant/flux rearing conditions 
Kern_2015_PHYS,"Kern, Pippa and Cramp, Rebecca L. and Seebacher, Frank and Kazerouni, Ensiyeh Ghanizadeh and Franklin, Craig E.",Plasticity of protective mechanisms only partially explains interactive effects of temperature and UVR on upper thermal limits,PHYSIOLOGY,10.1016/j.cbpa.2015.09.007,2015,"Temperature and ultraviolet radiation (UVR) are key environmental drivers that are linked in their effects on cellular damage. Exposure to both high temperatures and UVR can cause cellular damage that result in the upregulation of common protective mechanisms, such as the induction of heat shock proteins (Hsps) and antioxidants. As such, the interactive effects of these stressors at the cellular level may determine physiological limits, such as thermal tolerance. Furthermore, antioxidant activity is often thermally sensitive, which may lead to temperature dependent effects of UVR exposure. Here we examined the interactive effects of temperature and UVR on upper thermal limits, Hsp70 abundance, oxidative damage and antioxidant (catalase) activity. We exposed Limnodynastes peronii tadpoles to one of three temperature treatments (constant 18 degrees C, constant 28 degrees C and daily fluctuations between 18 and 28 degrees C) in the presence or absence of UVR. Tadpoles were tested for upper thermal limits (CTmax), induction of Hsp70, oxidative damage and catalase activity. Our results show that CTmax was influenced by an interactive effect between temperature and UVR treatment. For tadpoles kept in cold temperatures, exposure to UVR led to cross-tolerance to high temperatures, increasing CTmax. Plasticity in this trait was not fully explained by changes in the lower level mechanistic traits examined. These results highlight the difficulty in predicting the mechanistic basis for the interactive effects of multiple stressors on whole animal traits. Multifactorial studies may therefore be required to understand how complex mechanistic processes shape physiological tolerances, and determine responses to environmental variation. (C) 2015 Elsevier Inc. All rights reserved.",1095-6433,Plasticity of Protective Mechanisms Only Partially Explains Interactive Effects of Temperature and Uvr on Upper Thermal Limits.,selected,extractable,selected,y,y ,"figure 1, 2",organismal ,"heatshock, not sure if it would be good extract this response value"
Ketola_2014_EVOL,"Ketola, Tarmo and Kellermann, Vanessa M. and Loeschcke, Volker and Lopez-Sepulcre, Andres and Kristensen, Torsten N.",DOES ENVIRONMENTAL ROBUSTNESS PLAY A ROLE IN FLUCTUATING ENVIRONMENTS?,EVOLUTION,10.1111/evo.12285,2014,"Fluctuating environments are expected to select for individuals that have highest geometric fitness over the experienced environments. This leads to the prediction that genetically determined environmental robustness in fitness, and average fitness across environments should be positively genetically correlated to fitness in fluctuating environments. Because quantitative genetic experiments resolving these predictions are missing, we used a full-sib, half-sib breeding design to estimate genetic variance for egg-to-adult viability in Drosophila melanogaster exposed to two constant or fluctuating temperatures that were above the species' optimum temperature, during development. Viability in two constant environments (25 degrees C or 30 degrees C) was used to estimate breeding values for environmental robustness of viability (i.e., reaction norm slope) and overall viability (reaction norm elevation). These breeding values were regressed against breeding values of viability at two different fluctuating temperatures (with a mean of 25 degrees C or 30 degrees C). Our results based on genetic correlations show that average egg-to-adult viability across different constant thermal environments, and not the environmental robustness, was the most important factor for explaining the fitness in fluctuating thermal environments. Our results suggest that the role of environmental robustness in adapting to fluctuating environments might be smaller than anticipated.",0014-3820,Does Environmental Robustness Play a Role in Fluctuating Environments?,selected,extractable,selected,y,n ,,organismal ,doesn't appear to be extractable with parameter that would be easily quanitifiable 
Manenti_2014_JOOFEVBI,"Manenti, T. and Sorensen, J. G. and Moghadam, N. N. and Loeschcke, V.",Predictability rather than amplitude of temperature fluctuations determines stress resistance in a natural population of Drosophila simulans,JOURNAL OF EVOLUTIONARY BIOLOGY,10.1111/jeb.12463,2014,"The adaptability of organisms to novel environmental conditions depends on the amount of genetic variance present in the population as well as on the ability of individuals to adjust their phenotype through phenotypic plasticity. Here, we investigated the phenotypic plasticity induced by a single generation's exposure to three different temperature regimes with respect to several life-history and stress-resistance traits in a natural population of Drosophila simulans. We studied a constant as well as a predictably and an unpredictably fluctuating temperature regime. We found high levels of phenotypic plasticity among all temperature regimes, suggesting a strong influence of both temperature fluctuations and their predictability. Increased heat tolerance was observed for flies developed in both types of fluctuating thermal environments compared with flies developed in a constant environment. We suggest that this was due to beneficial hardening when developing in either fluctuating temperature environment. To our surprise, flies that developed in constant and predictably changing environments were similar to each other in most traits when compared to flies from the unpredictably fluctuating environment. The unpredictably changing thermal environment imposed the most stressful condition, resulting in the lowest performance for stress-related traits, even though the absolute temperature changes never exceeded that of the predictably fluctuating environment. The overall decreased stress resistance of flies in the unpredictably fluctuating environment may be the consequence of maladaptive phenotypic plasticity in this setting, indicating that the adaptive value of plasticity depends on the predictability of the environment.",1010-061X,Predictability Rather than Amplitude of Temperature Fluctuations Determines Stress Resistance in a Natural Population of Drosophila Simulans.,selected,extractable,selected,y,y ,figure 2,organismal ,predictable and unpredictable variability 
Petchey_2000_PROFTHROSOB.SC,"Petchey, OL",Environmental colour affects aspects of single-species population dynamics,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,10.1098/rspb.2000.1066,2000,"Single-species populations of ciliates (Colpidium and Paramecium) experienced constant temperature or white or reddened temperature fluctuations in aquatic microcosms in order to test three hypotheses about how environmental colour influences population dynamics. (i) Models predict that the colour of population dynamics is tinged by the colour of the environmental variability However, environmental colour had no effect on the colour of population dynamics. All population dynamics in this experiment were reddened, regardless of environmental colour. iii! Models predict that populations will crack reddened environmental variability more closely than white environmental variability and that populations with a higher intrinsic growth rate (r) will track environmental variability more closely than populations with a low r. The experimental populations behaved as predicted. (iii! Models predict that population variability is determined by interaction between r and the environmental variability. The experimental populations behaved as predicted. These results show that (i) reddened population dynamics mall need no special explanation, such as reddened environments, spatial subdivision or interspecific interactions, and (ii) and (iii) that population dynamics are sensitive to environmental colour, in agreement with population models. Correct specification of the colour of the environmental variability in models is required for accurate predictions. Further work is needed to study the effects of environmental colour on communities and ecosystems.",0962-8452,Environmental Colour Affects Aspects of Single-Species Population Dynamics.,selected,extractable,selected,y,y ,figure 2 ,population,other graphs may provided good info for intro and thinking about the color of environmental noise 
Rolandi_2018_JOOFTHBI,"Rolandi, Carmen and Schilman, Pablo E.","The costs of living in a thermal fluctuating environment for the tropical haematophagous bug, Rhodnius prolixus",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2018.03.022,2018,"Environmental temperature is an abiotic factor with great influence on biological processes of living beings. Jensen's inequality states that for non-lineal processes, such as most biological phenomena, the effects of thermal fluctuations cannot be predicted from mean constant temperatures. We studied the effect of daily temperature fluctuation (DTF) on Rhodnius prolixus, a model organism in insect physiology, and an important vector of Chagas disease. We measured development time from egg to adult, fecundity, fertility, body mass reduction rate (indirect measurement of nutrient consumption rates) and survival after a single blood meal. Insects were reared at constant temperature (24 degrees C), or with a DTF (17-32 degrees C; mean = 24 degrees C). Taking into account Jensen's inequality as well as the species tropical distribution, we predict that living in a variable thermal environment will have higher costs than inhabiting a stable one. Development time and fertility were not affected by DTF. However, fecundity was lower in females reared at DTF than at constant temperature, and males had higher body mass reduction rate and lower survival in the DTF regime, suggesting higher costs associated to fluctuating thermal environments. At a population and epidemiological level, higher energetic costs would imply an increase in nutrient consumption rate, biting frequency, and, consequently increasing disease transmission from infected insects. On the contrary, lower fecundity could be associated with a decrease in population growth. This knowledge will not only provide basic information to the field of insect ecophysiology, but also could be a useful background to develop population and disease transmission models.",0306-4565,"The Costs of Living in a Thermal Fluctuating Environment for the Tropical Haematophagous Bug, Rhodnius Prolixus.",selected,extractable,selected,y,y ,"figure 2, 4",organismal ,data available in figshare
Simoncini_2019_PHYS,"Simoncini, Melina S. and Leiva, Pamela M. L. and Pina, Carlos I. and Cruz, Felix B.","Influence of temperature variation on incubation period, hatching success, sex ratio, and phenotypes in Caiman latirostris",PHYSIOLOGY,10.1002/jez.2265,2019,"Temperature is crucial for reptiles, also during embryonic development, particularly for species with temperature-dependent sex determination. Under natural conditions, Broad-snouted caiman (Caiman latirostris) eggs are influenced by thermal changes in the interior of the nest related to the external environmental temperature. As nests are subject to variations in temperature and most lab studies on crocodilian incubation have been carried out at constant temperatures, we were interested in determining how temperature fluctuations may affect the development of caiman embryos. We investigated the effects of incubation at constant temperatures (31 degrees C, 32 degrees C, and 33 degrees C) and fluctuating temperatures (31 +/- 2, 32 +/- 1, and 32 +/- 2 degrees C) on the following aspects: incubation period duration, hatching success, sex ratio, total length, and body mass of C. latirostris hatchlings. Eggs incubated at 31 degrees C produced 100% females, those at 32 degrees C produced 71.6% females (however, the sex ratio was nest related), and at 33 degrees C produced 100% males. We found a masculinizing effect when incubation was at 31 +/- 2 degrees C compared with a constant 31 degrees C; and temperature fluctuations at 32 degrees C (32 +/- 1 and 32 +/- 2 degrees C) had a negative effect on hatchlings size and mass, and hatching success compared with constant incubation temperatures of 32 degrees C and 33 degrees C. Finally, the effect of temperature variation during the incubation period on sex ratio, hatching success, and phenotype depends on the mean temperature, as the fluctuation around 31 degrees C affected the sex ratios and incubation period, and the fluctuation around 32 degrees C affected hatchling success and size.",2471-5638,"Influence of Temperature Variation on Incubation Period, Hatching Success, Sex Ratio, and Phenotypes in Caiman Latirostris.",selected,extractable,selected,y,y ,table 1,organismal ,
Spanoudis_2015_JOOFTHBI,"Spanoudis, Christos G. and Pappas, Christos S. and Delpisi, Argyroula G. and Andreadis, Stefanos S. and Savopoulou-Soultani, Matilda",Impact of fluctuating temperatures on development of the koinobiont endoparasitoid Venturia canescens,JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2015.03.009,2015,"The effect of temperature on the biology of Venturia canescens (Gravenhorst) (Hymenoptera: Ichneumonidae) is well understood under constant temperature conditions, but less so under more natural, fluctuating conditions. Herein we studied the influence of fluctuating temperatures on biological parameters of V. canescens. Parasitized fifth-instar larvae of Ephestia kuehniella Zeller (Lepidoptera: Pyralidae) were reared individually in incubators at six fluctuating temperature regimes (15-19.5 degrees C with a mean of 17.6 degrees C, 17.5-22.5 degrees C with a mean of 19.8 degrees C, 20-30 degrees C with a mean of 22.7 degrees C, 22.5-27.5 degrees C with a mean of 25 degrees C, 25.5-32.5 degrees C with a mean of 28.3 degrees C and 28.5-33 degrees C with a mean of 30 degrees C) until emergence and death of V. canescens adults. Developmental time from parasitism to adult eclosion, adult longevity and survival were recorded at each fluctuating temperature regime. In principle, developmental time decreased with an increase of the mean temperature of the fluctuating temperature regime. Upper and lower threshold temperatures for total development were estimated at 34.9 and 6.7 degrees C, respectively. Optimum temperature for development and thermal constant were 28.6 degrees C and 526.3 degree days, respectively. Adult longevity was also affected by fluctuating temperature, as it was significantly reduced at the highest mean temperature (7.0 days at 30 degrees C) compared to the lowest one (29.4 days at 17.6 degrees C). Survival was low at all tested fluctuating temperatures, apart from mean fluctuating temperature of 25 degrees C (37%). Understanding the thermal biology of V. canescens under more natural conditions is of critical importance in applied contexts. Thus, predictions of biological responses to fluctuating temperatures may be used in population forecasting models which potentially influence decision-making in IPM programs. (C) 2015 Elsevier Ltd. All rights reserved.",0306-4565,Impact of Fluctuating Temperatures on Development of the Koinobiont Endoparasitoid Venturia Canescens.,selected,extractable,selected,y,n ,,organismal ,no control constant treatment
Wang_2015_JOOFMI,"Wang, Yun-bo and Pang, Wen-xing and Yv, Xiao-na and Li, Jing-jie and Zhang, Yong-an and Sung, Chang-keun",The effects of fluctuating culture temperature on stress tolerance and antioxidase expression in Esteya vermicola,JOURNAL OF MICROBIOLOGY,10.1007/s12275-015-4529-2,2015,"The endoparasitic nematophagous fungus, Esteya vermicola, has shown great potential as a biological control agent against the pine wood nematode, Bursaphelenchus xylophilus. Fluctuating culture temperatures can affect fungal yields and fungal tolerance to desiccation, UV radiation, H2O2, and heat stress, as well as antioxidase expression. To explore these effects, E. vermicola cultured under five temperature ranges, 26 degrees C, 15-26 degrees C, 26-35 degrees C, 20-30 degrees C, and 15-35 degrees C, were compared. The cultures grown at lower temperatures showed better growth, stronger tolerance to desiccation, UV, and H2O2 stresses, and increased catalase expression, However, these cultures also showed weaker heat stress tolerance and lower superoxide dismutase expression than the higher-temperature cultures. In particular, the E. vermicola cultured at 20-30 degrees C, i.e., fluctuating in a narrow range around the optimal temperature, showed the best performance. Therefore, for production in practical applications, this narrowly fluctuating, moderate temperature appears to be optimal for yield and stress tolerance in E. vermicola.",1225-8873,The Effects of Fluctuating Culture Temperature on Stress Tolerance and Antioxidase Expression in Esteya Vermicola.,selected,extractable,selected,y,y ,"figure 1,2",organismal ,not sure about drought treatment in figure 2
Blanchard_2006_JOOFEXBO,"Blanchard, Matthew G. and Runkle, Erik S.","Temperature during the day, but not during the night, controls flowering of Phalaenopsis orchids",JOURNAL OF EXPERIMENTAL BOTANY,10.1093/jxb/erl176,2006,"Phalaenopsis orchids are among the most valuable potted flowering crops commercially produced throughout the world because of their long flower life and ease of crop scheduling to meet specific market dates. During commercial production, Phalaenopsis are usually grown at an air temperature >= 28 degrees C to inhibit flower initiation, and a cooler night than day temperature regimen (e.g. 25/20 degrees C day/night) is used to induce flowering. However, the specific effect of day and night temperature on flower initiation has not been well described, and the reported requirement for a diurnal temperature fluctuation to elicit flowering is unclear. Two Phalaenopsis clones were grown in glass greenhouse compartments with constant temperature set points of 14, 17, 20, 23, 26, or 29 degrees C and fluctuating day/night (12 h/12 h) temperatures of 20/14, 23/17, 26/14, 26/20, 29/17, or 29/23 degrees C. The photoperiod was 12 h, and the maximum irradiance was controlled to <= 150 mu mol m(-2) s(-1). After 20 weeks, >= 80% of plants of both clones had a visible inflorescence when grown at constant 14, 17, 20, or 23 degrees C and at fluctuating day/night temperatures of 20/14 degrees C or 23/17 degrees C. None of the plants were reproductive within 20 weeks when grown at a constant 29 degrees C or at 29/17 degrees C or 29/23 degrees C day/night temperature regimens. The number of inflorescences per plant and the number of flower buds on the first inflorescence were greatest when the average daily temperature was 14 degrees C or 17 degrees C. These results indicate that a day/night fluctuation in temperature is not required for inflorescence initiation in these two Phalaenopsis clones. Furthermore, the inhibition of flowering when the day temperature was 29 degrees C and the night temperature was 17 degrees C or 23 degrees C suggests that a warm day temperature inhibits flower initiation in Phalaenopsis.",0022-0957,"Temperature During the Day, but not During the Night, Controls Flowering of Phalaenopsis Orchids.",selected,extractable?,selected,y,y ,"figure 1, table 3",organismal ,
Czarnoleski_2015_JOOFTHBI,"Czarnoleski, Marcin and Dragosz-Kluska, Dominika and Angilletta, Michael J., Jr.",Flies developed smaller cells when temperature fluctuated more frequently,JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2014.09.010,2015,"Changes in cell size might be an important component of adaptation to thermal heterogeneity. Although Drosophila melanogaster develops smaller cells at fluctuating temperatures, we do not know whether this response depends on the frequency or amplitude of thermal change. In a laboratory experiment, we exposed flies to either frequent or infrequent fluctuations between 17 and 27 degrees C, while controlling the total exposure to each temperature. Flies emerged from these treatments with similar body sizes, but flies at more frequent fluctuations emerged earlier and had smaller epidermal cells for a given body size. Tissue built from small cells has more nuclei for transcription, shorter distances between cell compartments, and a larger surface area for transport across membranes. Therefore, we hypothesize that physiological effects of small cells reduce lags in metabolic activity and enhance performance of flies during warming. For plasticity of cell size to confer a fitness advantage, this hypothetical benefit must outweigh the cost of maintaining a greater area of plasma membrane. (C) 2014 Elsevier Ltd. All rights reserved.",0306-4565,Flies Developed Smaller Cells when Temperature Fluctuated more Frequently.,selected,extractable?,selected,y,n ,,organismal ,no control constant treatment
Delava_2016_JOOFTHBI,"Delava, Emilie and Fleury, Frederic and Gibert, Patricia",Effects of daily fluctuating temperatures on the Drosophila-Leptopilina boulardi parasitoid association,JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2016.06.012,2016,"Koinobiont parasitoid insects, which maintain intimate and long-term relationships with their arthropod hosts, constitute an association of ectothermic organisms that is particularly sensitive to temperature variations. Because temperature shows pronounced natural daily fluctuations, we examined if experiments based on a constant temperature range can mask the real effects of the thermal regime on host-parasitoid interactions. The effects of two fluctuating thermal regimes on several developmental parameters of the Drosophila larval parasitoid Leptopilina boulardi were analyzed in this study. Regime 1 included a range of 16-23-16 degrees C and regime 2 included a range of 16-21-26-21-16 degrees C (mean temperature 20.1 degrees C) compared to a 20.1 degrees C constant temperature. Under an average temperature of 20.1 degrees C, which corresponds to a cold condition of L. boulardi development, we showed that the success of parasitism is significantly higher under a fluctuating temperature regime than at constant temperature. A fluctuating regime also correlated with a reduced development time of the parasitoids. In contrast, the thermal regime did not affect the ability of Drosophila to resist parasitoid infestation. Finally, we demonstrated that daily temperature fluctuation prevented the entry into diapause for this species, which is normally observed at a constant temperature of 21 degrees C. Overall, the results reveal that constant temperature experiments can produce misleading results, highlighting the need to study the thermal biology of organisms under fluctuating regimes that reflect natural conditions as closely as possible. This is particularly a major issue in host-parasitoid associations, which constitute a good model to understand the effect of climate warming on interacting species. (C) 2016 Elsevier Ltd. All rights reserved.",0306-4565,Effects of Daily Fluctuating Temperatures on the Drosophila-Leptopilina Boulardi Parasitoid Association.,selected,extractable?,selected,y,y ,table 1 ,organismal ,
Fabricio.Neto_2019_JOOFTHBI,"Fabricio-Neto, Ailton and Bueno Gavira, Rodrigo Samuel and Andrade, Denis Vieira",Thermal regime effects on the resting metabolic rate of rattlesnakes depend on temperature range,JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2019.05.025,2019,"While ectothermic organisms often experience considerable circadian variation in body temperature under natural conditions, the study of the effects of temperature on metabolic rates are traditionally based on subjecting animals to constant temperature regimes. Whether data resulting from constant-temperature experiments accurately predicts temperature effects under more natural fluctuating temperature regimes remains uncertain. To address such possibility, we measured the resting metabolic rates of the South American rattlesnakes (Crotalus durissus) under constant and circadian fluctuating thermal regimes in a range of temperatures. Metabolic rates measured at constant 20 degrees C and 25 degrees C did not differ from the rates measured at fluctuating regimes with corresponding mean temperatures. However, the difference between thermal regimes increased with temperature, with the metabolic rate measured at constant 30 degrees C being greater than that measured at the fluctuating thermal regime with corresponding mean temperature. Therefore, our results indicate that thermal regime effects on rattlesnakes' metabolism is dependent on temperature range. Broadly, our results highlight the importance of considering multi-factorial attributes of temperature variation in the exam of its effects over functional traits. Such approach provides a more solid support for inferences about temperature effects on the life history, ecology and conservation of ectothermic organisms.",0306-4565,Thermal Regime Effects on the Resting Metabolic Rate of Rattlesnakes Depend on Temperature Range.,selected,extractable?,selected,y,y ,figure 2,organismal ,
Hallsson_2012_JOOFEVBI,"Hallsson, L. R. and Bjorklund, M.",Selection in a fluctuating environment leads to decreased genetic variation and facilitates the evolution of phenotypic plasticity,JOURNAL OF EVOLUTIONARY BIOLOGY,10.1111/j.1420-9101.2012.02512.x,2012,"Changes in the environment are expected to induce changes in the quantitative genetic variation, which influences the ability of a population to adapt to environmental change. Furthermore, environmental changes are not constant in time, but fluctuate. Here, we investigate the effect of rapid, continuous and/or fluctuating temperature changes in the seed beetle Callosobruchus maculatus, using an evolution experiment followed by a split-brood experiment. In line with expectations, individuals responded in a plastic way and had an overall higher potential to respond to selection after a rapid change in the environment. After selection in an environment with increasing temperature, plasticity remained unchanged (or decreased) and environmental variation decreased, especially when fluctuations were added; these results were unexpected. As expected, the genetic variation decreased after fluctuating selection. Our results suggest that fluctuations in the environment have major impact on the response of a population to environmental change; in a highly variable environment with low predictability, a plastic response might not be beneficial and the response is genetically and environmentally canalized resulting in a low potential to respond to selection and low environmental sensitivity. Interestingly, we found greater variation for phenotypic plasticity after selection, suggesting that the potential for plasticity to evolve is facilitated after exposure to environmental fluctuations. Our study highlights that environmental fluctuations should be considered when investigating the response of a population to environmental change.",1010-061X,Selection in a Fluctuating Environment Leads to Decreased Genetic Variation and Facilitates the Evolution of Phenotypic Plasticity.,selected,extractable?,selected,y,y ,figure 1,population,"appear to have constant, flux, red and white temp treatments; not sure how to deal with triangle icons "
Hoskins_2020_JOOFTHBI,"Hoskins, Jessica L. and Janion-Scheepers, Charlene and Ireland, Elise and Monro, Keyne and Chown, Steven L.",Constant and fluctuating temperature acclimations have similar effects on phenotypic plasticity in springtails,JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2020.102690,2020,"Much interest exists in the extent to which constant versus fluctuating temperatures affect thermal performance traits and their phenotypic plasticity. Theory suggests that effects should vary with temperature, being especially pronounced at more extreme low (because of thermal respite) and high (because of Jensen's inequality) temperatures. Here we tested this idea by examining the effects of constant temperatures (10 to 30 degrees C in 5 degrees C increments) and fluctuating temperatures (means equal to the constant temperatures, but with fluctuations of +/- 5 degrees C) temperatures on the adult (F2) phenotypic plasticity of three thermal performance traits - critical thermal minimum (CTmin), critical thermal maximum (CTmax), and upper lethal temperature (ULT50) in ten species of springtails (Collembola) from three families (Isotomidae 7 spp.; Entomobryidae 2 spp.; Onychiuridae 1 sp.). The lowest mean CTmin value recorded here was -3.56 +/- 1.0 degrees C for Paristoma notabilis and the highest mean CTmax was 43.1 +/- 0.8 degrees C for Hemisotoma thermophila. The Acclimation Response Ratio for CTmin was on average 0.12 degrees C/degrees C (range: 0.04 to 0.21 degrees C/degrees C), but was much lower for CTmax (mean: 0.017 degrees C/degrees C, range: -0.015 to 0.047 degrees C/degrees C) and lower also for ULT50 (mean: 0.05 degrees C/degrees C, range: -0.007 to 0.14 degrees C/degrees C). Fluctuating versus constant temperatures typically had little effect on adult phenotypic plasticity, with effect sizes either no different from zero, or inconsistent in the direction of difference. Previous work assessing adult phenotypic plasticity of these thermal performance traits across a range of constant temperatures can thus be applied to a broader range of circumstances in springtails.",0306-4565,Constant and Fluctuating Temperature Acclimations Have Similar Effects on Phenotypic Plasticity in Springtails.,selected,extractable?,selected,y,y ,figure 1,organismal ,table 1 for n's?
